roll100/intruder_caught_rate,roll100/reward_mean,time/iterations,episode/intruder_success,episode/time_to_capture,episode/intruder_caught,roll100/time_to_capture_mean,episode/reward,roll100/ep_len_mean,episode/time_to_intruder_success,roll100/intruder_success_rate,roll100/time_to_intruder_success_mean,roll100/win_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,episode/length,time/time_elapsed,episode/patroller_win,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/std,train/policy_gradient_loss,train/loss,train/clip_fraction,train/n_updates,eval/mean_reward,eval/mean_ep_length
0.75,7.670403277873993,1,1.0,28.0,0.0,25.63157894736842,194.53555297851562,31.6,16.0,0.25,27.4,0.75,2165,7.670403003692627,31.6,5120,17.0,2,0.0,,,,,,,,,,,,,
0.9,-35.15808884620667,2,0.0,1.0,1.0,48.45,-7.583282470703125,47.2,6.0,0.1,21.285714285714285,0.9,1655,-35.158084869384766,47.2,10240,2.0,6,1.0,1.1615712e-05,1418.2246415201823,-2.8393243185679116,1.08e-05,-0.0011801719665527344,0.2,1.0014411211013794,-0.00020829372690059245,1038.2469482421875,0.0,15,,
0.95,-32.95404015779495,3,0.0,10.0,1.0,34.2,2.3668975830078125,37.2,62.0,0.05,38.888888888888886,0.95,1523,-32.954044342041016,37.2,15360,11.0,10,1.0,1.5888083e-05,1431.920419514974,-2.8422375837961833,1.08e-05,0.0009879469871520996,0.2,1.0029196739196777,-0.0002493990639535089,743.0582275390625,0.0,30,,
0.9,-30.76126248717308,4,0.0,34.0,1.0,40.45,-183.03207397460938,38.3,53.0,0.1,42.15384615384615,0.9,1410,-30.761262893676758,38.3,20480,35.0,14,1.0,9.146437e-06,1457.58048828125,-2.8449268531799317,1.08e-05,-0.00024628639221191406,0.2,1.004148006439209,-0.00018726908834651112,1078.451171875,0.0,45,,
0.75,5.803361985683441,5,1.0,72.0,0.0,43.9,-207.48818969726562,34.75,22.0,0.25,37.35,0.75,1375,5.803361892700195,34.75,25600,23.0,18,0.0,9.15993e-06,1188.7908219401043,-2.847542740503947,1.08e-05,0.0022649765014648438,0.2,1.005535364151001,-0.00011023105626615385,1089.3421630859375,0.0,60,,
0.6,9.296807002425194,6,1.0,129.0,0.0,43.15,-1249.1551513671875,63.4,153.0,0.35,48.85,0.6,1342,9.296808242797852,63.4,30720,154.0,22,0.0,1.0907359e-05,1077.914081624349,-2.850446591377258,1.08e-05,0.002210378646850586,0.2,1.007102608680725,-0.00013465058524161577,872.9335327148438,0.0,75,,
0.8,-0.8217066675424576,7,1.0,136.0,0.0,38.4,-152.11880493164062,37.25,60.0,0.2,50.25,0.8,1343,-0.8217056393623352,37.25,35840,61.0,26,0.0,9.030895e-06,1083.5922424316407,-2.853278368314107,1.08e-05,0.004807472229003906,0.2,1.0083553791046143,-0.00014746035643232365,713.900390625,0.0,90,,
0.8,-3.908586757853627,,0.0,2.0,1.0,46.9,-2.8149266242980957,35.3,52.0,0.2,47.25,0.8,,,,40000,3.0,,1.0,1.1783302e-05,1009.966841023763,-2.855881913503011,1.08e-05,0.006174206733703613,0.2,1.009756088256836,-0.00017926902199784915,600.261474609375,0.0,105,114.05816650390625,88.5
0.75,-1.3836137849837542,8,1.0,,0.0,46.9,135.6333770751953,33.9,21.0,0.25,45.4,0.75,1222,-1.383613109588623,33.9,40960,22.0,33,0.0,,,,,,,,,,,,,
0.75,-55.744488170146944,9,0.0,47.0,1.0,48.0,57.245262145996094,47.4,92.0,0.25,44.45,0.75,1142,-55.74449157714844,47.4,46080,48.0,40,1.0,6.4364517e-06,1370.9453739420574,-2.85832124710083,1.08e-05,0.0023660659790039062,0.2,1.0107975006103516,-0.00016266803373582661,932.122314453125,0.0,120,,
0.85,-42.436511820554735,10,0.0,88.0,1.0,32.15,-464.78094482421875,49.05,133.0,0.15,44.65,0.85,1148,-42.4365119934082,49.05,51200,89.0,44,1.0,1.0299974e-05,994.2291735839843,-2.860333655675252,1.08e-05,-0.0013113021850585938,0.2,1.0118049383163452,-0.00013093684489528338,701.0606689453125,0.0,135,,
0.85,-27.48261523962021,11,1.0,17.0,0.0,50.55,-252.23471069335938,52.75,54.0,0.15,49.5,0.85,1168,-27.482616424560547,52.75,56320,55.0,48,0.0,1.947569e-05,1093.7271789550782,-2.8628952010472615,1.08e-05,0.0060800909996032715,0.2,1.0134475231170654,-0.00019895232825850446,686.4796142578125,0.0,150,,
0.75,-54.28876981019974,12,0.0,2.0,1.0,22.6,-8.890525817871094,45.05,204.0,0.2,53.4,0.75,1114,-54.288780212402344,45.05,61440,3.0,55,1.0,1.2791541e-05,1082.2255908203124,-2.865698609352112,1.08e-05,0.004029989242553711,0.2,1.0145832300186157,-0.000238884964492172,781.9170532226562,0.0,165,,
0.65,-95.32145900070667,13,0.0,143.0,1.0,39.8,-2701.771728515625,53.8,52.0,0.3,57.65,0.65,1118,-95.32146453857422,53.8,66560,144.0,59,1.0,7.742225e-06,1275.0696073404947,-2.8676745398839314,1.08e-05,0.008612513542175293,0.2,1.0154359340667725,-0.0002052793411227564,919.585693359375,0.0,180,,
0.65,-45.5161633604765,14,0.0,11.0,1.0,46.95,20.63626480102539,44.05,40.0,0.35,43.9,0.65,1135,-45.51615905761719,44.05,71680,12.0,63,1.0,6.9535918e-06,1667.1093863932292,-2.8691313600540163,1.08e-05,0.010188043117523193,0.2,1.0160629749298096,-0.0001734919830535849,1398.9647216796875,0.0,195,,
0.7,-123.38137082219124,15,1.0,213.0,0.0,66.05,-285.15960693359375,82.55,52.0,0.25,49.85,0.7,1120,-123.38138580322266,82.55,76800,53.0,68,0.0,2.7723203e-05,981.652021891276,-2.8714460150400796,1.08e-05,0.008836328983306885,0.2,1.017846703529358,-0.00034248787288864455,631.9014892578125,0.0,210,,
0.65,-59.64204002544284,,0.0,12.0,1.0,63.35,-411.5663146972656,52.85,17.0,0.35,50.85,0.65,,,,80000,13.0,,1.0,2.41876e-05,1157.0689766438802,-2.8745699659983317,1.08e-05,0.011766672134399414,0.2,1.0191702842712402,-0.00030744329017276566,673.740234375,0.0,225,96.70111846923828,49.25
0.75,-59.92404314145446,16,0.0,1.0,1.0,49.5,-9.909771919250488,44.3,,0.2,50.85,0.75,1101,-59.92403793334961,44.3,81920,2.0,74,1.0,,,,,,,,,,,,,
0.7,-81.24889635682106,17,0.0,41.0,1.0,40.8,-835.1112670898438,54.4,30.0,0.3,60.15,0.7,1116,-81.2489013671875,54.4,87040,42.0,77,1.0,3.2579188e-05,1093.0923689778647,-2.8774602524439494,1.08e-05,0.010942637920379639,0.2,1.0208234786987305,-0.0003573571611195803,629.6049194335938,0.0,240,,
0.85,-86.80688933551312,18,0.0,110.0,1.0,55.15,-2740.756591796875,56.4,66.0,0.15,61.15,0.85,1105,-86.80689239501953,56.4,92160,111.0,83,1.0,3.0420731e-05,963.193418375651,-2.880433513323466,1.08e-05,0.01044619083404541,0.2,1.0221679210662842,-0.00032620986419109005,597.7252197265625,0.0,255,,
0.7,-41.594397197961804,19,0.0,140.0,1.0,54.6,-711.75048828125,42.55,18.0,0.3,55.9,0.7,1113,-41.59439468383789,42.55,97280,141.0,87,1.0,5.3541607e-05,1018.4562622070313,-2.8830082591374717,1.08e-05,0.01079624891281128,0.2,1.0234673023223877,-0.0005848331896898647,761.7772827148438,0.0,270,,
0.85,-42.10317084144801,20,0.0,11.0,1.0,22.35,-260.8109436035156,25.8,38.0,0.15,59.2,0.85,1127,-42.10316848754883,25.8,102400,12.0,90,1.0,4.03019e-05,1142.679912516276,-2.885438707669576,1.08e-05,0.011437177658081055,0.2,1.0246431827545166,-0.0003801664826460183,801.9540405273438,0.0,285,,
